title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"Unholy (feat. Kim Petras)","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)",GBUM72205415,spotify,3nqQXoyQOWXiESFLlDF1hG,157s,"2022-09-30 04:00",,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG
"As It Was","Harry Styles","As It Was",USSM12200612,spotify,4LRPiXqCikLlN15c3yImP7,167s,"2022-09-30 04:00",,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
"Tití Me Preguntó","Bad Bunny","Un Verano Sin Ti",QM6MZ2214878,spotify,1IHWl5LamUGEuP4ozKQSXZ,244s,"2022-09-30 04:00",,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
"I'm Good (Blue)","David Guetta, Bebe Rexha","I'm Good (Blue)",UKWLG2200055,spotify,4uUG5RXrOk84mYEfFvj3cK,175s,"2022-09-30 04:00",,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK
"Super Freaky Girl","Nicki Minaj","Super Freaky Girl",USUM72215262,spotify,4C6Uex2ILwJi9sZXRdmqXp,171s,"2022-09-30 04:00",,https://open.spotify.com/track/4C6Uex2ILwJi9sZXRdmqXp
"I Like You (A Happier Song) (with Doja Cat)","Post Malone, Doja Cat","Twelve Carat Toothache",USUM72208023,spotify,0O6u0VJ46W86TxN9wgyqDj,193s,"2022-09-30 04:00",,https://open.spotify.com/track/0O6u0VJ46W86TxN9wgyqDj
"I Ain't Worried",OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",USUM72206227,spotify,4h9wh7iOZ0GGn8QVp4RAOB,148s,"2022-09-30 04:00",,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB
"STAR WALKIN' (League of Legends Worlds Anthem)","Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)",USSM12208809,spotify,38T0tPVZHcPZyhtOcCP7pF,211s,"2022-09-30 04:00",,https://open.spotify.com/track/38T0tPVZHcPZyhtOcCP7pF
"Shut Down",BLACKPINK,"BORN PINK",KRA402200020,spotify,0ARKW62l9uWIDYMZTUmJHF,176s,"2022-09-30 04:00",,https://open.spotify.com/track/0ARKW62l9uWIDYMZTUmJHF
"Calm Down (with Selena Gomez)","Rema, Selena Gomez","Calm Down (with Selena Gomez)",NGA3B2214021,spotify,0WtM2NBVQNNJLh6scP13H8,239s,"2022-09-30 04:00",,https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8
